x, y, z, yaw
-0.227247, 2.37765, 0.561214, 4
-0.111799, 0.18776, 0.58718, 2
-0.198455, 0.0998077, 0.577563, 7
-0.233543, 2.38463, 0.560022, 4
-0.110715, 0.188106, 0.587303, 2
-0.190682, 0.103239, 0.578916, 7
-0.11432, 0.187743, 0.586606, 2
-0.232217, 2.38308, 0.560063, 4
-0.188296, 0.104229, 0.579575, 7
-0.111123, 0.187904, 0.587249, 2
-0.230742, 2.3815, 0.560422, 4
-0.195921, 0.100868, 0.578024, 7
-0.231003, 2.38165, 0.56012, 4
-0.113934, 0.187724, 0.58676, 2
-0.190705, 0.103144, 0.578502, 7
-0.125413, 0.187096, 0.584763, 2
-0.236513, 2.38787, 0.559307, 4
-0.184881, 0.105716, 0.580078, 7
-0.229595, 2.38027, 0.560342, 4
-0.123683, 0.187049, 0.5847, 2
-0.18722, 0.10482, 0.579566, 7
-0.119773, 0.187532, 0.58547, 2
-0.218097, 2.36739, 0.562553, 4
-0.183925, 0.106188, 0.580024, 7
-0.123859, 0.1871, 0.584765, 2
-0.23264, 2.3835, 0.559825, 4
-0.193907, 0.10184, 0.578469, 7
-0.22232, 2.3721, 0.561941, 4
-0.113819, 0.187764, 0.586553, 2
-0.189078, 0.103994, 0.579138, 7
-0.121192, 0.187187, 0.585207, 2
-0.224728, 2.37492, 0.561176, 4
-0.186772, 0.104951, 0.579553, 7
-0.224472, 2.37467, 0.56128, 4
-0.12239, 0.187229, 0.584955, 2
-0.180596, 0.107581, 0.580642, 7
-0.224002, 2.37415, 0.561237, 4
-0.119022, 0.187404, 0.586108, 2
-0.181268, 0.107544, 0.580577, 7
-0.210079, 2.35847, 0.564035, 4
-0.118899, 0.187416, 0.586053, 2
-0.178387, 0.108832, 0.581027, 7
-0.122753, 0.187145, 0.585404, 2
-0.224289, 2.37432, 0.561554, 4
-0.184165, 0.10606, 0.580113, 7
-0.115219, 0.187702, 0.586519, 2
-0.222478, 2.37227, 0.561683, 4
-0.183306, 0.106454, 0.580393, 7
-0.224908, 2.37494, 0.561544, 4
-0.114961, 0.187661, 0.586578, 2
-0.188769, 0.103941, 0.579195, 7
-0.223244, 2.37321, 0.561708, 4
-0.113643, 0.187843, 0.586853, 2
-0.192681, 0.102492, 0.578785, 7
-0.232421, 2.38325, 0.560179, 4
-0.121895, 0.187283, 0.585116, 2
-0.199247, 0.0991743, 0.577483, 7
-0.116397, 0.187605, 0.586272, 2
-0.234914, 2.3863, 0.559808, 4
-0.206348, 0.0960691, 0.576346, 7
-0.117623, 0.18758, 0.586019, 2
-0.219544, 2.36893, 0.562416, 4
-0.204441, 0.0969483, 0.57657, 7
-0.222015, 2.37184, 0.561969, 4
-0.113714, 0.187771, 0.586781, 2
-0.180311, 0.107707, 0.58111, 7
-0.230186, 2.38083, 0.560492, 4
-0.122185, 0.187374, 0.585234, 2
-0.190645, 0.103149, 0.579297, 7
-0.231002, 2.38178, 0.560469, 4
-0.114128, 0.187801, 0.586745, 2
-0.197903, 0.0999813, 0.577682, 7
-0.232739, 2.38379, 0.559969, 4
-0.117257, 0.187678, 0.586206, 2
-0.195463, 0.100914, 0.578072, 7
-0.229007, 2.3796, 0.560821, 4
-0.125757, 0.187008, 0.584694, 2
-0.192149, 0.102369, 0.578991, 7
-0.121115, 0.187363, 0.585344, 2
-0.227506, 2.37801, 0.560897, 4
-0.196811, 0.101003, 0.577798, 7
-0.22789, 2.37839, 0.560779, 4
-0.117256, 0.187504, 0.586294, 2
-0.190732, 0.103089, 0.579104, 7
-0.119159, 0.187456, 0.585735, 2
-0.216643, 2.36592, 0.562668, 4
-0.199254, 0.0996814, 0.577411, 7
-0.216332, 2.36578, 0.562634, 4
-0.114261, 0.187763, 0.586906, 2
-0.184044, 0.106069, 0.580183, 7
-0.116635, 0.187602, 0.586315, 2
-0.216623, 2.36574, 0.562675, 4
-0.191704, 0.102684, 0.578692, 7
-0.225148, 2.37529, 0.561225, 4
-0.114808, 0.187683, 0.586854, 2
-0.184219, 0.106049, 0.580227, 7
-0.114399, 0.187798, 0.586794, 2
-0.224445, 2.37459, 0.56125, 4
-0.192623, 0.102354, 0.578447, 7
-0.220553, 2.37033, 0.562056, 4
-0.107291, 0.188078, 0.588006, 2
-0.194044, 0.101701, 0.57825, 7
-0.115355, 0.187762, 0.586528, 2
-0.226208, 2.37653, 0.561088, 4
-0.186426, 0.105188, 0.57992, 7
-0.116262, 0.18778, 0.586367, 2
-0.222737, 2.37259, 0.561563, 4
-0.196377, 0.100719, 0.577869, 7
-0.224258, 2.37448, 0.561524, 4
-0.10364, 0.188389, 0.588665, 2
-0.188793, 0.104067, 0.579636, 7
-0.22571, 2.376, 0.561032, 4
-0.116043, 0.187602, 0.586489, 2
-0.193476, 0.101887, 0.578594, 7
-0.216451, 2.36585, 0.562862, 4
-0.114409, 0.187736, 0.586716, 2
-0.193977, 0.101745, 0.578605, 7
-0.11634, 0.1876, 0.586396, 2
-0.208336, 2.35671, 0.564471, 4
-0.19304, 0.102072, 0.578805, 7
-0.116465, 0.187597, 0.586593, 2
-0.212697, 2.36146, 0.56335, 4
-0.193455, 0.102174, 0.57878, 7
-0.229911, 2.38063, 0.560455, 4
-0.11744, 0.187517, 0.586249, 2
-0.203437, 0.0975029, 0.576642, 7
-0.21716, 2.36659, 0.562514, 4
-0.119926, 0.187345, 0.585805, 2
-0.19077, 0.103122, 0.578903, 7
-0.121276, 0.187225, 0.585506, 2
-0.223333, 2.37338, 0.561703, 4
-0.191569, 0.102598, 0.578776, 7
-0.111577, 0.187592, 0.5871, 2
-0.218322, 2.368, 0.562465, 4
-0.199022, 0.099479, 0.577345, 7
-0.222036, 2.37196, 0.56203, 4
-0.116679, 0.187533, 0.586322, 2
-0.202258, 0.0980459, 0.577075, 7
-0.1173, 0.187523, 0.586269, 2
-0.233321, 2.38447, 0.559816, 4
-0.193545, 0.102123, 0.578417, 7
-0.22038, 2.37012, 0.561983, 4
-0.116245, 0.187659, 0.586516, 2
-0.184688, 0.105832, 0.58015, 7
-0.226081, 2.37634, 0.561007, 4
-0.116742, 0.187691, 0.586446, 2
-0.20035, 0.0989351, 0.577066, 7
-0.227624, 2.37797, 0.560766, 4
-0.119392, 0.187487, 0.58595, 2
-0.188567, 0.104149, 0.579501, 7
-0.23161, 2.38255, 0.560094, 4
-0.108991, 0.188028, 0.587818, 2
-0.202712, 0.0978508, 0.57685, 7
-0.115729, 0.187673, 0.58652, 2
-0.22656, 2.37685, 0.560825, 4
-0.187286, 0.104705, 0.579816, 7
-0.10588, 0.18825, 0.588248, 2
-0.221232, 2.37093, 0.561715, 4
-0.191506, 0.102955, 0.579121, 7
-0.118487, 0.187472, 0.585998, 2
-0.224871, 2.37515, 0.56091, 4
-0.197531, 0.100207, 0.577659, 7
-0.221053, 2.37084, 0.561727, 4
-0.114173, 0.187832, 0.586786, 2
-0.196253, 0.100704, 0.578262, 7
-0.228162, 2.37861, 0.560717, 4
-0.107648, 0.188161, 0.587942, 2
-0.194557, 0.101389, 0.578253, 7
-0.225926, 2.37617, 0.560919, 4
-0.114242, 0.187767, 0.586836, 2
-0.187907, 0.104181, 0.579495, 7
-0.225613, 2.37593, 0.561136, 4
-0.118045, 0.187573, 0.586109, 2
-0.195032, 0.101302, 0.578054, 7
-0.222945, 2.37276, 0.561807, 4
-0.118159, 0.187588, 0.586048, 2
-0.19963, 0.0991803, 0.577488, 7
-0.120008, 0.187462, 0.585703, 2
-0.219978, 2.36948, 0.56227, 4
-0.184299, 0.10597, 0.580403, 7
-0.229097, 2.37983, 0.560503, 4
-0.117868, 0.187611, 0.586092, 2
-0.195842, 0.10094, 0.578118, 7
-0.119865, 0.187419, 0.585839, 2
-0.20046, 0.0987999, 0.577259, 7
-0.122012, 0.187289, 0.585344, 2
-0.20107, 0.0985714, 0.577197, 7
-0.121664, 0.187268, 0.585646, 2
-0.182829, 0.106595, 0.580535, 7
-0.112938, 0.187649, 0.586879, 2
-0.1814, 0.107276, 0.580366, 7
-0.13057, 0.186643, 0.58388, 2
-0.189858, 0.103411, 0.579082, 7
-0.129595, 0.186733, 0.584157, 2
-0.205565, 0.0964209, 0.576598, 7
-0.131635, 0.186557, 0.583776, 2
-0.177547, 0.108762, 0.58126, 7
-0.117979, 0.187431, 0.586275, 2
-0.191882, 0.102389, 0.578652, 7
-0.120315, 0.187042, 0.585645, 2
-0.195547, 0.100866, 0.578323, 7
-0.13296, 0.186544, 0.583496, 2
-0.189645, 0.103349, 0.579291, 7
-0.120323, 0.187395, 0.585975, 2
-0.19632, 0.100437, 0.57788, 7
-0.115582, 0.187668, 0.58638, 2
-0.193345, 0.101895, 0.578436, 7
-0.113692, 0.187792, 0.587157, 2
-0.188466, 0.104189, 0.579337, 7
-0.118724, 0.187522, 0.586248, 2
-0.190793, 0.103038, 0.578947, 7
-0.113855, 0.187872, 0.586947, 2
-0.201537, 0.0986405, 0.577156, 7
-0.11645, 0.187611, 0.586548, 2
-0.193441, 0.102, 0.578549, 7
-0.115649, 0.187622, 0.586544, 2
-0.193299, 0.101917, 0.578571, 7
-0.115531, 0.187649, 0.586698, 2
-0.205565, 2.35345, 0.56507, 4
-0.189456, 0.103719, 0.579681, 7
-0.119166, 0.1875, 0.586033, 2
-0.22748, 2.37811, 0.561426, 4
-0.184978, 0.10573, 0.580354, 7
-0.226413, 2.37669, 0.56179, 4
-0.113667, 0.187791, 0.586968, 2
-0.199747, 0.0989592, 0.577656, 7
-0.227206, 2.37732, 0.56158, 4
-0.112088, 0.18772, 0.587008, 2
-0.20713, 0.0955653, 0.57642, 7
-0.111848, 0.188061, 0.587339, 2
-0.233367, 2.38444, 0.560311, 4
-0.188892, 0.103784, 0.579706, 7
-0.124938, 0.187006, 0.584841, 2
-0.228327, 2.37872, 0.561231, 4
-0.200271, 0.0988127, 0.577257, 7
-0.114912, 0.187748, 0.586837, 2
-0.226377, 2.37648, 0.561838, 4
-0.197275, 0.100352, 0.578047, 7
-0.231073, 2.38178, 0.560821, 4
-0.106124, 0.188343, 0.588397, 2
-0.202695, 0.0977849, 0.577015, 7
-0.220669, 2.3701, 0.562706, 4
-0.117517, 0.187533, 0.586274, 2
-0.190903, 0.103213, 0.579463, 7
-0.224932, 2.37498, 0.561924, 4
-0.113249, 0.187851, 0.586953, 2
-0.196776, 0.10045, 0.578357, 7
-0.223851, 2.37399, 0.562172, 4
-0.129115, 0.186853, 0.584071, 2
-0.189699, 0.103903, 0.579536, 7
-0.12736, 0.187059, 0.584487, 2
-0.228281, 2.37873, 0.561257, 4
-0.197727, 0.10005, 0.57774, 7
-0.219976, 2.36949, 0.562542, 4
-0.11212, 0.187891, 0.587034, 2
-0.178309, 0.10887, 0.581526, 7
-0.225596, 2.37578, 0.561706, 4
-0.112522, 0.18788, 0.587098, 2
-0.186716, 0.105079, 0.580098, 7
-0.24028, 2.39195, 0.559119, 4
-0.125524, 0.187098, 0.584625, 2
-0.181272, 0.107277, 0.581301, 7
-0.236364, 2.38774, 0.559833, 4
-0.121322, 0.187391, 0.585371, 2
-0.184832, 0.105862, 0.580357, 7
-0.221974, 2.37167, 0.562317, 4
-0.125354, 0.187069, 0.585052, 2
-0.192596, 0.10217, 0.578855, 7
-0.231152, 2.38196, 0.560733, 4
-0.102392, 0.188444, 0.589035, 2
-0.185821, 0.105331, 0.580092, 7
-0.242978, 2.39482, 0.558885, 4
-0.122543, 0.187176, 0.585619, 2
-0.19278, 0.102315, 0.579178, 7
-0.237208, 2.3885, 0.559812, 4
-0.108836, 0.188146, 0.587868, 2
-0.195328, 0.101033, 0.57855, 7
-0.237606, 2.38888, 0.559773, 4
-0.116716, 0.187733, 0.5864, 2
-0.202565, 0.0979978, 0.577265, 7
-0.231497, 2.38196, 0.560796, 4
-0.110345, 0.188116, 0.587542, 2
-0.206483, 0.0961274, 0.576615, 7
-0.229596, 2.38034, 0.561214, 4
-0.106899, 0.188148, 0.588174, 2
-0.196495, 0.100581, 0.578204, 7
-0.107743, 0.188206, 0.58816, 2
-0.227488, 2.37789, 0.56158, 4
-0.198333, 0.0998126, 0.57798, 7
-0.224177, 2.37429, 0.562176, 4
-0.104863, 0.188423, 0.588541, 2
-0.19488, 0.101311, 0.578582, 7
-0.22893, 2.37947, 0.561214, 4
-0.115912, 0.187568, 0.586489, 2
-0.193779, 0.102467, 0.57879, 7
-0.218185, 2.3676, 0.56308, 4
-0.112713, 0.187885, 0.587249, 2
-0.189926, 0.103516, 0.579575, 7
-0.119826, 0.187251, 0.586141, 2
-0.225724, 2.37598, 0.561636, 4
-0.177752, 0.108949, 0.581698, 7
-0.232932, 2.38389, 0.560348, 4
-0.109625, 0.188092, 0.587794, 2
-0.189152, 0.104057, 0.579382, 7
-0.119062, 0.187437, 0.586089, 2
-0.229983, 2.38067, 0.560897, 4
-0.195053, 0.101663, 0.578512, 7
-0.103862, 0.188148, 0.589172, 2
-0.231691, 2.38269, 0.560629, 4
-0.189385, 0.103936, 0.579478, 7
-0.227908, 2.37844, 0.561424, 4
-0.115031, 0.187424, 0.586617, 2
-0.195055, 0.101463, 0.578513, 7
-0.118407, 0.187391, 0.586338, 2
-0.22644, 2.3766, 0.561446, 4
-0.193722, 0.101728, 0.578733, 7
-0.23032, 2.38111, 0.560967, 4
-0.107102, 0.188176, 0.588384, 2
-0.191277, 0.103274, 0.579238, 7
-0.113295, 0.187844, 0.587209, 2
-0.224455, 2.3745, 0.562238, 4
-0.198826, 0.0995242, 0.578062, 7
-0.115266, 0.188015, 0.586973, 2
-0.215587, 2.36451, 0.563101, 4
